bID,bRad,LamSites,Class,DomainID,Chr,StartLoc,EndLoc,TAD_length,Sum of genomic lengths,Radius(nm),EpiClass,WT_Probability_NE0.2,Mutant_Probability_NE0.2,Sum_of_Contacts_with_Active_TADs,Radii,Surface_area,Reads_Rep1_WT,Reads_Rep2_WT,Reads_Rep1_Mut,Reads_Rep2_Mut,WT_RPKMT,Mut_RPKMT,WT_RPKMTL,Mut_RPKMTL,Bin_ALL_TADs,Bin_LTADs,Bin_NonLTADs
11,0.12,1,L-TADs,12,2L,870850,1078849,207999,118382,95.04,Null,0.451767,0.104198,13479,0.12,0.060336,7375,6815,6908,6852,3.872815878,3.617623675,2.204201411,2.058959542,5,3,
12,0.06,0,NonL-TADs,13,2L,1078850,1107549,28699,29732,49.11,Active,0.29469,0.0907613,3409.68,0.06,0.015084,3579,3108,3514,3614,7.2667016,7.461638301,7.528261332,7.730214641,4,,5
13,0.09,0,NonL-TADs,14,2L,1107550,1185449,77899,71515,68.51,Active,0.256668,0.0913658,6961.18,0.09,0.033939,32016,27057,31071,33070,26.68836764,27.91445864,24.50119529,25.62680534,4,,5
14,0.15,1,L-TADs,15,2L,1185450,1615649,430199,201191,121.09,Null,0.467834,0.0866172,22665.8,0.15,0.094275,13762,12805,14486,14955,4.26642479,4.55443632,1.995277232,2.129971473,5,3,
15,0.1,0,NonL-TADs,16,2L,1615650,1728649,112999,70443,77.55,Active,0.242534,0.0796171,10004.7,0.1,0.0419,29844,28731,29481,31403,26.8660972,26.90022795,16.7481879,16.76946484,4,,4
16,0.11,1,L-TADs,17,2L,1728650,1884549,155899,80858,86.33,Null,0.303606,0.0697058,8611.36,0.11,0.050699,3356,3491,3228,3563,2.735945617,2.61397459,1.419015457,1.355754414,4,2,
17,0.09,0,NonL-TADs,18,2L,1884550,1973149,88599,65269,71.51,PcG,0.192979,0.081552,5002.91,0.09,0.033939,1282,1053,1233,1291,1.155872826,1.203574611,0.851506941,0.8866478322,3,,4
18,0.05,0,NonL-TADs,19,2L,1973150,1988549,15399,12155,39.91,Active,0.163224,0.0595922,1155.71,0.05,0.010475,11677,10861,11880,11850,59.90878875,60.76218759,47.28822178,47.96184104,3,,3
19,0.07,0,NonL-TADs,20,2L,1988550,2037049,48499,34125,58.5,Null,0.141833,0.0637242,2403.62,0.07,0.020531,158,155,196,182,0.2963478666,0.3447543589,0.2085171024,0.2425770119,2,,3
20,0.09,0,NonL-TADs,21,2L,2037050,2130349,93299,62835,72.75,Null,0.145664,0.0761199,6622.63,0.09,0.033939,3788,3061,4021,4200,3.521726898,4.072055184,2.371812234,2.742447266,2,,3
21,0.08,0,NonL-TADs,22,2L,2130350,2193449,63099,50295,63.86,Active,0.184089,0.078097,4630.36,0.08,0.026816,12592,10954,13146,14045,15.12594284,16.82639166,12.05659828,13.41199335,3,,4
22,0.06,0,NonL-TADs,23,2L,2193450,2216049,22599,10841,45.35,Null,0.266532,0.0723471,2049.6,0.06,0.015084,1700,1574,1493,1597,9.757520183,8.8711467,4.680794562,4.255591016,4,,5
23,0.05,0,NonL-TADs,24,2L,2216050,2236449,20399,20426,43.83,Active,0.357255,0.0732214,1791.04,0.05,0.010475,7526,6149,7689,8007,21.63087736,23.91642645,21.65950787,23.94808209,5,,6
24,0.1,1,L-TADs,25,2L,2236450,2361649,125199,116250,80.25,Null,0.469357,0.0864669,9560.67,0.1,0.0419,5701,5221,5872,6322,3.035563612,3.26470433,2.818586969,3.031349119,5,3,
25,0.05,0,NonL-TADs,26,2L,2361650,2375949,14299,13780,38.93,Active,0.477956,0.0851642,0,0.05,0.010475,2259,1751,2114,2271,9.402109021,9.904008542,9.060847773,9.544530227,5,,6
26,0.12,1,L-TADs,27,2L,2375950,2567449,191499,74897,92.46,PcG,0.577831,0.0910828,11210.6,0.12,0.060336,1761,1573,1730,1783,1.438239794,1.459836956,0.5625086597,0.5709555061,6,5,
27,0.06,0,NonL-TADs,28,2L,2567450,2592349,24899,16153,46.84,Active,0.489559,0.0848183,569.976,0.06,0.015084,3791,3477,3681,3804,14.53757115,14.42212441,9.431117183,9.356222164,5,,6
28,0.11,1,L-TADs,29,2L,2592350,2740149,147799,75643,84.81,Null,0.578636,0.0895659,6561.04,0.11,0.050699,2053,1329,1822,1946,1.444558008,1.550360788,0.7393196262,0.7934691107,6,5,
29,0.06,0,NonL-TADs,30,2L,2740150,2769349,29199,20732,49.39,Active,0.48748,0.0759965,1752.25,0.06,0.015084,24323,25032,26681,27472,76.91660091,81.29651839,54.61265694,57.72250486,5,,6
30,0.09,1,L-TADs,31,2L,2769350,2856849,87499,66172,71.21,Null,0.466867,0.0710104,6902.06,0.09,0.033939,13468,13345,12777,13249,13.09185766,12.24119428,9.900849208,9.257526458,5,3,
31,0.06,0,NonL-TADs,32,2L,2856850,2885149,28299,28732,48.88,Active,0.379013,0.0667028,4331.53,0.06,0.015084,6891,6311,6918,7010,14.84581343,15.08736949,15.07296764,15.31821974,5,,6
32,0.13,0,NonL-TADs,33,2L,2885150,3173049,287899,264194,105.92,Active,0.24046,0.0674652,37478.5,0.13,0.070811,45204,46529,49777,57116,11.21844787,12.59264446,10.29474439,11.55579252,4,,4
33,0.1,1,L-TADs,34,2L,3173050,3303649,130599,53785,81.38,Null,0.385951,0.0472285,10066.6,0.1,0.0419,361,409,408,443,0.4625510593,0.4924464525,0.1904938684,0.202805783,5,3,
34,0.08,0,NonL-TADs,35,2L,3303650,3355549,51899,39005,59.83,Null,0.327214,0.0451419,2529.13,0.08,0.026816,100,85,117,115,0.1532433276,0.1851221258,0.115170928,0.1391296271,4,,5
35,0.05,0,NonL-TADs,36,2L,3355550,3371549,15999,15343,40.42,Null,0.365012,0.042883,1399.09,0.05,0.010475,1897,1591,1985,2237,7.345076423,8.56443209,7.043909467,8.213268427,5,,6
36,0.09,1,L-TADs,37,2L,3371550,3448749,77199,27532,68.3,Null,0.370301,0.044637,5338.23,0.09,0.033939,1407,1357,1323,1386,3.243623255,3.062399677,1.156795237,1.09216425,5,2,
37,0.05,0,NonL-TADs,38,2L,3448750,3467449,18699,19289,42.58,Active,0.344111,0.0488683,1385.89,0.05,0.010475,9530,8337,8946,8677,29.92761112,28.43549248,30.87190175,29.33270305,4,,6
38,0.05,0,NonL-TADs,39,2L,3467450,3479549,12099,5970,36.82,Active,0.315191,0.0490564,0,0.05,0.010475,767,471,564,591,6.700025277,6.021411106,3.305988173,2.971140119,4,,5
39,0.07,0,NonL-TADs,40,2L,3479550,3530349,50799,42482,59.41,Null,0.314562,0.0458146,3489.63,0.07,0.020531,4553,4165,4427,4530,6.630435241,6.562181615,5.544875882,5.487796991,4,,5
40,0.09,1,L-TADs,41,2L,3530350,3632749,102399,53615,75.05,PcG,0.346759,0.051639,3976.66,0.09,0.033939,1310,1119,1272,1362,1.463764911,1.529044364,0.7664113487,0.8005909589,4,2,
41,0.06,0,NonL-TADs,42,2L,3632750,3657549,24799,0,46.78,Null,0.281385,0.0409739,1100.59,0.06,0.015084,0,0,0,0,0,0,0,0,4,,5
42,0.11,0,NonL-TADs,43,2L,3657550,3812649,155099,104975,86.18,PcG,0.194521,0.045935,7008.66,0.11,0.050699,2957,2725,2803,3122,1.748821459,1.756681782,1.18364743,1.188967499,3,,4
43,0.14,1,L-TADs,44,2L,3812650,4183449,370799,180759,115.24,Null,0.420251,0.0447909,13254.2,0.14,0.082124,2357,1977,2215,2314,0.7746742218,0.7798175713,0.3776421664,0.3801494728,5,3,
44,0.05,0,NonL-TADs,45,2L,4183450,4197949,14499,11270,39.11,Null,0.306462,0.0447365,0,0.05,0.010475,1351,1365,1307,1354,7.786386855,7.348718043,6.05231946,5.712121688,4,,5
45,0.06,0,NonL-TADs,46,2L,4197950,4227949,29999,22821,49.84,Active,0.307835,0.0512986,1835.65,0.06,0.015084,26677,26061,25942,27125,74.66535126,72.37365266,56.79982603,55.0564728,4,,5
46,0.1,1,L-TADs,47,2L,4227950,4333549,105599,47371,75.82,Null,0.347349,0.0493249,5325.15,0.1,0.0419,24,8,21,16,0.02182566843,0.02430971109,0.009790847822,0.01090517262,4,2,
47,0.1,0,NonL-TADs,48,2L,4333550,4440549,106999,57172,76.15,Null,0.214563,0.0458337,8016.88,0.1,0.0419,5610,5072,5950,6148,6.036696143,6.585986274,3.225544088,3.519042302,3,,4
48,0.05,0,NonL-TADs,49,2L,4440550,4460349,19799,17818,43.39,Active,0.203356,0.0448986,1232.38,0.05,0.010475,44644,43729,42312,43558,160.2473186,149.9937401,144.2136837,134.9860327,3,,4
49,0.14,1,L-TADs,50,2L,4460350,4793449,333099,232326,111.19,Null,0.299517,0.0565848,14154.3,0.14,0.082124,1183,1034,1193,1241,0.3083173791,0.3260719081,0.2150416045,0.227424826,4,2,
50,0.05,0,NonL-TADs,51,2L,4793450,4811949,18499,7368,42.42,PcG,0.149322,0.0591756,1076.97,0.05,0.010475,199,160,162,188,1.574254557,1.47845821,0.6270126803,0.588857781,2,,3
51,0.07,0,NonL-TADs,52,2L,4811950,4849149,37199,29694,53.55,Active,0.123069,0.0642236,3973,0.07,0.020531,4039,3428,3968,4378,8.124704507,8.747829349,6.485523149,6.98293085,2,,2
52,0.1,0,NonL-TADs,53,2L,4849150,4973049,123899,111656,79.97,Active,0.0965932,0.0707795,16210,0.1,0.0419,13228,13159,13519,14131,7.635510509,7.707325421,6.881012449,6.945731016,2,,2
53,0.07,0,NonL-TADs,54,2L,4973050,5010349,37299,35896,53.59,Active,0.0938886,0.0680154,5809.06,0.07,0.020531,9849,8820,9361,9433,16.80370803,16.29535372,16.1716374,15.68240482,2,,2
54,0.07,0,NonL-TADs,55,2L,5010350,5054349,43999,49151,56.63,Active,0.107721,0.0680096,4990.46,0.07,0.020531,15609,12369,15669,15468,18.39138497,19.7167366,20.5448979,22.02543968,2,,2
55,0.07,0,NonL-TADs,56,2L,5054350,5100249,45899,41842,57.43,Active,0.138073,0.0666711,7154.8,0.07,0.020531,30300,26009,29850,29403,43.48059788,44.07461575,39.63735978,40.17887257,2,,3
56,0.11,1,L-TADs,57,2L,5100250,5270649,170399,168524,88.93,Null,0.21451,0.0655257,14547.6,0.11,0.050699,6253,4752,7468,7084,2.109883208,2.687519063,2.086666927,2.657946716,3,1,
57,0.08,0,NonL-TADs,58,2L,5270650,5325149,54499,33600,60.82,Active,0.178668,0.0664826,5231.3,0.08,0.026816,3551,2264,3772,4047,5.591657592,7.242734442,3.44739711,4.465327386,3,,3
58,0.12,1,L-TADs,59,2L,5325150,5516149,190999,63073,92.38,PcG,0.233481,0.0700682,11260.9,0.12,0.060336,2064,2329,2422,2503,2.25033846,2.430263547,0.7431222032,0.8025382997,3,1,
59,0.06,0,NonL-TADs,60,2L,5516150,5543049,26899,33799,48.06,Active,0.135359,0.0557284,2829.4,0.06,0.015084,24635,20992,24977,37344,43.61623671,57.38801305,54.80446056,72.10890565,2,,3
60,0.13,0,NonL-TADs,61,2L,5543050,5800249,257199,164798,102.01,Null,0.0877152,0.0512862,13086.6,0.13,0.070811,3442,2923,3377,3225,1.247890846,1.246849999,0.7995750979,0.7989081846,2,,2
61,0.1,1,L-TADs,62,2L,5800250,5906949,106699,62673,76.08,Null,0.120326,0.0522528,4544.25,0.1,0.0419,1607,972,1736,1712,1.329538708,1.712290312,0.7809462082,1.005767352,2,1,
62,0.07,0,NonL-TADs,63,2L,5906950,5944649,37699,34432,53.79,PcG,0.0840181,0.0562746,2969.62,0.07,0.020531,1798,1594,1891,1875,3.182905331,3.404150028,2.907074361,3.109145966,1,,2
63,0.07,0,NonL-TADs,64,2L,5944650,5981749,37099,22611,53.5,Active,0.0608831,0.0603706,3625.58,0.07,0.020531,26318,23699,25072,25895,71.47069363,70.15520972,43.55976856,42.75801091,1,,1
64,0.08,0,NonL-TADs,65,2L,5981750,6047349,65599,59045,64.69,Active,0.0457803,0.0624779,6780.04,0.08,0.026816,57635,47215,41674,42860,57.37404048,44.55935735,51.64179668,40.1074293,1,,1
65,0.06,0,NonL-TADs,66,2L,6047350,6071049,23699,23140,46.08,Active,0.0365461,0.0586303,2547.6,0.06,0.015084,12350,11419,11787,12018,33.18774035,32.01809267,32.40492475,31.26286613,1,,1
66,0.06,0,NonL-TADs,67,2L,6071050,6099149,28099,18246,48.77,Active,0.0320336,0.0560076,2102.42,0.06,0.015084,3176,2543,3357,3249,10.12704066,11.26838106,6.575962983,7.317088893,1,,1
67,0.12,0,NonL-TADs,68,2L,6099150,6323049,223899,113764,97.4,Null,0.026142,0.051767,13347.8,0.12,0.060336,6644,5623,7190,6874,3.483883623,3.847641765,1.770175555,1.955002558,1,,1
68,0.07,0,NonL-TADs,69,2L,6323050,6357749,34699,28697,52.32,Active,0.0254011,0.0546261,1632.33,0.07,0.020531,10080,7858,9949,10304,20.19610638,21.96562126,16.70271952,18.16615561,1,,1
69,0.08,0,NonL-TADs,70,2L,6357750,6425249,67499,59365,65.31,Null,0.0262691,0.0573516,6706.34,0.08,0.026816,1567,1291,1668,1742,1.555470862,1.787781887,1.368028085,1.572344357,1,,1
70,0.08,0,NonL-TADs,71,2L,6425250,6480449,55199,30466,61.08,Active,0.0259974,0.0561602,6017.01,0.08,0.026816,21048,18261,20784,20844,41.68758009,42.52660705,23.00863811,23.4717225,1,,1
71,0.05,0,NonL-TADs,72,2L,6480450,6497649,17199,18290,41.41,Active,0.0255174,0.0519377,0,0.05,0.010475,6868,5988,6869,6937,22.71026939,23.49334139,24.15087082,24.98361615,1,,1
72,0.06,0,NonL-TADs,73,2L,6497650,6526649,28999,28355,49.28,Null,0.026422,0.0502898,3776.85,0.06,0.015084,1351,973,1395,1587,2.648113527,3.273170389,2.589305116,3.200480926,1,,1
73,0.06,0,NonL-TADs,74,2L,6526650,6557449,30799,21073,50.28,PcG,0.0293612,0.0515984,1692.72,0.06,0.015084,166,171,147,144,0.516694289,0.4297909317,0.3535276714,0.2940674796,1,,1
74,0.08,0,NonL-TADs,75,2L,6557450,6612149,54699,46765,60.89,Null,0.0327112,0.0510172,4826.64,0.08,0.026816,9402,8844,9076,9159,12.60598713,12.13599685,10.77750943,10.37569047,1,,1
75,0.08,0,NonL-TADs,76,2L,6612150,6683049,70899,65568,66.39,Active,0.0435566,0.0559689,7315.45,0.08,0.026816,16206,12680,16115,16634,14.23395531,15.54521499,13.16368329,14.37634743,1,,1
76,0.07,0,NonL-TADs,77,2L,6683050,6718349,35299,31116,52.62,PcG,0.0605394,0.0536473,2108.21,0.07,0.020531,1885,1811,1982,2305,3.837764554,4.288054997,3.382982007,3.779912159,1,,1
77,0.09,1,L-TADs,78,2L,6718350,6796849,78499,65233,68.68,Null,0.0775265,0.0532556,7238.85,0.09,0.033939,7877,7325,8310,8479,7.529454341,8.010287495,6.257008307,6.656582684,1,1,
78,0.08,0,NonL-TADs,79,2L,6796850,6852049,55199,21640,61.08,PcG,0.0638748,0.0539332,6264.2,0.08,0.026816,0,0,0,0,0,0,0,0,1,,1
79,0.08,0,NonL-TADs,80,2L,6852050,6919849,67799,43284,65.41,Active,0.0543461,0.0559266,5900.12,0.08,0.026816,15919,14552,14970,14714,22.74518358,21.34448402,14.5209004,13.62667069,1,,1
80,0.06,0,NonL-TADs,81,2L,6919850,6948649,28799,19851,49.17,Active,0.0523524,0.0514367,4421.99,0.06,0.015084,19997,18578,22158,22828,62.78467825,70.53190529,43.27715018,48.61727324,1,,1
81,0.06,0,NonL-TADs,82,2L,6948650,6971349,22699,18514,45.42,Active,0.0558903,0.0489131,2260.07,0.06,0.015084,27727,21346,24211,22293,85.6391754,78.17730171,69.84993583,63.76380298,1,,1
82,0.08,0,NonL-TADs,83,2L,6971350,7026949,55599,51817,61.22,Null,0.0667169,0.044382,6317.09,0.08,0.026816,4249,3050,3979,4140,4.5511508,4.876642308,4.241568751,4.544919413,1,,2
83,0.05,0,NonL-TADs,84,2L,7026950,7042349,15399,26412,39.91,Active,0.0894719,0.0449593,2181.44,0.05,0.010475,7044,6006,7229,7482,15.96391294,17.33530683,27.38092529,29.73310761,2,,2
84,0.06,0,NonL-TADs,85,2L,7042350,7065849,23499,15322,45.95,Active,0.112413,0.0447112,1699.42,0.06,0.015084,2588,2135,2405,2254,9.959387155,9.463850662,6.493796757,6.170693214,2,,2
85,0.1,1,L-TADs,86,2L,7065850,7180149,114299,73632,77.85,Null,0.150505,0.0375376,7987.42,0.1,0.0419,917,1290,929,1370,0.9684247135,0.9717689098,0.6238641502,0.6260184986,2,1,
86,0.06,0,NonL-TADs,87,2L,7180150,7202649,22499,18266,45.28,Null,0.14493,0.0355985,1722.08,0.06,0.015084,2749,2560,2868,2775,9.390730987,9.615175667,7.62394294,7.806160217,2,,3
87,0.05,0,NonL-TADs,88,2L,7202650,7222349,19699,17588,43.32,Active,0.150034,0.0379942,1332.11,0.05,0.010475,1352,1200,1292,1424,4.688072731,4.806223192,4.18568573,4.291174857,2,,3
88,0.07,0,NonL-TADs,89,2L,7222350,7258449,36099,40107,53.01,Null,0.169106,0.035604,1058.28,0.07,0.020531,156,197,193,190,0.2843705743,0.2972139723,0.3159436722,0.330213047,3,,3
89,0.11,1,L-TADs,90,2L,7258450,7435549,177099,79787,90.08,PcG,0.277291,0.045765,8425.19,0.11,0.050699,9111,7574,8474,8726,6.756537675,6.709450253,3.043969031,3.022755111,4,2,
90,0.08,1,L-TADs,91,2L,7435550,7494949,59399,51994,62.59,Null,0.233309,0.0304095,3524.91,0.08,0.026816,4572,3905,4980,4914,5.267676316,5.922557725,4.61097935,5.184219707,3,1,
91,0.07,0,NonL-TADs,92,2L,7494950,7534949,39999,79376,54.86,Null,0.198954,0.0285432,1910.42,0.07,0.020531,29,38,50,41,0.0272719204,0.03568147581,0.05411975184,0.07080809079,3,,4
92,0.09,0,NonL-TADs,93,2L,7534950,7640049,105099,11973,75.7,Null,0.146223,0.0288605,3520.68,0.09,0.033939,0,2,0,2,0.00539705869,0.005198973925,0.0006148391868,0.0005922731406,2,,3
93,0.11,1,L-TADs,94,2L,7640050,7782249,142199,123929,83.73,Null,0.178287,0.031331,5302.53,0.11,0.050699,4236,4532,5298,5631,2.28590261,2.744720378,1.992205462,2.392073445,3,1,
94,0.06,0,NonL-TADs,95,2L,7782250,7808149,25899,25731,47.46,Active,0.121017,0.0380469,1217.3,0.06,0.015084,7149,6719,7115,7888,17.41354914,18.14730217,17.30059203,18.02958539,2,,2
95,0.06,0,NonL-TADs,96,2L,7808150,7828749,20599,19808,43.97,Active,0.0929065,0.037875,1262.42,0.06,0.015084,41920,38722,40977,41173,131.5378656,129.0795868,126.4868218,124.1229407,2,,2
96,0.11,0,NonL-TADs,97,2L,7828750,8009349,180599,145980,90.67,Null,0.0525828,0.0318867,10426.9,0.11,0.050699,10871,10232,10833,10506,4.67068918,4.549580253,3.775365348,3.677471776,1,,1
97,0.06,0,NonL-TADs,98,2L,8009350,8030249,20899,18600,44.18,Null,0.0430882,0.0315717,1718.16,0.06,0.015084,4450,3443,3863,3666,13.7106892,12.59838799,12.20244122,11.212499,1,,1
98,0.05,0,NonL-TADs,99,2L,8030250,8042449,12199,9713,36.93,Active,0.0421745,0.035498,2181.3,0.05,0.010475,29980,23720,25870,24336,178.6286124,160.8765926,142.2263884,128.0920029,1,,1
99,0.07,0,NonL-TADs,100,2L,8042450,8083349,40899,38834,55.27,Active,0.0402978,0.0381068,4108.45,0.07,0.020531,18100,15230,20077,20756,27.73021999,32.72576358,26.33011475,31.07343218,1,,1
100,0.08,0,NonL-TADs,101,2L,8083350,8158649,75299,78190,67.74,Null,0.0394557,0.0388153,6435.61,0.08,0.026816,27804,25463,30067,31646,22.01086715,24.5649606,22.85594367,25.50809797,1,,1
101,0.07,0,NonL-TADs,102,2L,8158650,8197849,39199,38033,54.49,Active,0.0354653,0.0380764,3644.25,0.07,0.020531,10135,9510,10191,10726,16.68866425,17.11707049,16.19224897,16.60791199,1,,1
102,0.09,0,NonL-TADs,103,2L,8197850,8301949,104099,97303,75.46,Null,0.0328278,0.0363447,10372,0.09,0.033939,80317,70355,77443,78321,50.03068513,49.82318502,46.76448146,46.57052778,1,,1
103,0.06,0,NonL-TADs,104,2L,8301950,8325049,23099,21202,45.68,Active,0.036007,0.0406626,1891.31,0.06,0.015084,8630,8563,9131,9716,26.20022136,27.66661499,24.04853428,25.39450067,1,,1
104,0.07,0,NonL-TADs,105,2L,8325050,8363549,38499,22822,54.16,Null,0.0349678,0.0392472,3962.48,0.07,0.020531,2378,2543,2626,2946,6.966743028,7.59885282,4.129847772,4.504559055,1,,1
105,0.05,0,NonL-TADs,106,2L,8363550,8383949,20399,18644,43.83,Active,0.0377536,0.0422009,2620.69,0.05,0.010475,60116,58214,58109,59884,205.0623348,196.9734879,187.420078,180.0271439,1,,1
106,0.11,0,NonL-TADs,107,2L,8383950,8534649,150699,139696,85.36,Active,0.0471853,0.0500985,16616.2,0.11,0.050699,48108,41018,45100,48230,20.6134447,20.79351553,19.10839336,19.27531666,1,,1
107,0.11,0,NonL-TADs,108,2L,8534650,8685849,151199,136393,85.46,Null,0.050002,0.0367456,9260.35,0.11,0.050699,11379,5487,9233,8455,3.995306867,4.036242711,3.604070725,3.640997971,1,,1
108,0.08,0,NonL-TADs,109,2L,8685850,8741549,55699,55215,61.26,Null,0.084351,0.0366361,3635.38,0.08,0.026816,6609,5618,6716,7290,7.154725289,7.894918873,7.092553849,7.826315474,1,,2
109,0.15,1,L-TADs,110,2L,8741550,9122049,380499,143710,116.24,PcG,0.294269,0.0563417,12948.4,0.15,0.094275,6958,6771,7323,7941,3.086612021,3.305765128,1.165777081,1.248548634,4,2,
110,0.07,0,NonL-TADs,111,2L,9122050,9167249,45199,119779,57.14,Null,0.133493,0.0443852,1342.41,0.07,0.020531,5813,4169,5649,5525,2.692570047,2.903478471,7.135408916,7.694323941,2,,3
111,0.09,0,NonL-TADs,112,2L,9167250,9253349,86099,2453,70.83,Null,0.136183,0.0460542,3275.78,0.09,0.033939,2871,2281,2308,2147,67.85915287,56.52502802,1.933338389,1.610423974,2,,3
112,0.13,1,L-TADs,113,2L,9253350,9493649,240299,115133,99.73,Null,0.306842,0.0537577,7188.13,0.13,0.070811,17285,17829,17677,19316,9.853955831,10.00023849,4.721265992,4.791353515,4,2,
113,0.06,0,NonL-TADs,114,2L,9493650,9521349,27699,35758,48.53,Null,0.198934,0.0387749,1786.34,0.06,0.015084,1512,1299,1292,1356,2.539906639,2.304811365,3.27889027,2.975394231,3,,4
114,0.07,1,L-TADs,115,2L,9521350,9567649,46299,23695,57.6,Null,0.181947,0.0396226,1637.07,0.07,0.020531,12,4,20,28,0.0218169179,0.06304855688,0.01116550832,0.0322671236,3,1,
115,0.07,0,NonL-TADs,116,2L,9567650,9614649,46999,22215,57.89,PcG,0.16594,0.0451703,1844.34,0.07,0.020531,18110,16827,18994,19951,50.81236627,54.56272057,24.01746243,25.79014102,3,,3
116,0.09,0,NonL-TADs,117,2L,9614650,9700049,85399,37882,70.64,Null,0.11174,0.0394842,5803.06,0.09,0.033939,11721,9850,13381,13250,18.39786834,21.87989336,8.161079739,9.705665409,2,,2
117,0.08,0,NonL-TADs,118,2L,9700050,9758549,58499,49988,62.27,Null,0.105217,0.040522,3275.56,0.08,0.026816,9614,8623,8629,9602,11.78739303,11.35103221,10.07244915,9.69957432,2,,2
118,0.07,0,NonL-TADs,119,2L,9758550,9792549,33999,23606,51.97,Active,0.132825,0.0488366,2491.35,0.07,0.020531,10850,9591,10110,10554,27.97756176,27.24473679,19.42522788,18.91641685,2,,3
119,0.09,1,L-TADs,120,2L,9792550,9886349,93799,89267,72.88,Null,0.152519,0.047144,6540.46,0.09,0.033939,0,0,0,0,0,0,0,0,2,1,
120,0.05,0,NonL-TADs,121,2L,9886350,9906249,19899,19403,43.47,Active,0.14133,0.0526232,1625.22,0.05,0.010475,43465,43779,40086,39657,145.2769833,127.9128904,141.6558273,124.7245496,2,,3
121,0.05,0,NonL-TADs,122,2L,9906250,9919049,12799,10139,37.52,Active,0.125228,0.0557684,0,0.05,0.010475,11157,9875,10843,11061,67.02172133,67.23864205,53.09268166,53.26452002,2,,2
122,0.07,0,NonL-TADs,123,2L,9919050,9968449,49399,37719,58.86,Active,0.112755,0.0588194,7056.47,0.07,0.020531,34971,33751,34190,33636,58.86616556,55.96630841,44.94772968,42.73352066,2,,2
123,0.07,0,NonL-TADs,124,2L,9968450,10010049,41599,26115,55.58,Active,0.112291,0.0564187,4427.17,0.07,0.020531,8277,7897,8009,8164,20.01048138,19.27485779,12.56217027,12.10036085,2,,2
124,0.07,0,NonL-TADs,125,2L,10010050,10055349,45299,16152,57.18,Null,0.130114,0.0492955,3914.19,0.07,0.020531,0,0,0,0,0,0,0,0,2,,3
125,0.11,1,L-TADs,126,2L,10055350,10200649,145299,99037,84.33,Null,0.185258,0.0506878,9953.67,0.11,0.050699,8299,6984,7076,7272,4.985873602,4.509044462,3.398412679,3.073401995,3,1,
